Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L12     S2      
9-30    19      1.3379  0       0       0       37.481  -1.78   99.5    5.4683  0.4946  
---------------------------------------------------------------------
Average :       1.485   0       0       0       45.63   8.47    99.55   
Optimum :       1.056   0       0       0       50.09   -0.01   99.74   
 
10-1    18      1.3435  0       0       0       48.121  14.414  99.6    5.504   0.5248  
10-2    15      1.3862  0       0       0       49.61   16.333  99.61   5.5141  0.5239  
10-3    11      1.3926  0       0       0       50.655  16.731  99.59   5.5757  0.4748  
10-4    21      1.2656  0       0       0       44.816  9.9006  99.58   5.4848  0.5234  
10-5    24      1.2751  0       0       0       39.234  0.716   99.5    5.4965  0.4812  
10-6    3       2.2165  0       0       0       27.059  -19.42  99.39   5.3265  0.5435  
10-7    20      1.3159  0       0       0       38.051  -1.234  99.49   5.4923  0.4778  
10-8    16      1.3687  0       0       0       49.044  15.578  99.61   5.5119  0.5228  
10-9    9       1.4324  0       0       0       51.83   18.3    99.6    5.577   0.4796  
10-10   26      1.2643  0       0       0       39.598  1.0743  99.5    5.5109  0.4711  
10-11   23      1.2535  0       0       0       44.651  9.2631  99.57   5.5048  0.505   
10-12   14      1.3887  0       0       0       49.549  16.411  99.61   5.5055  0.5311  
10-13   5       1.9533  0       0       0       29.662  -16.63  99.35   5.4582  0.4531  
10-14   28      1.0559  0       0       0       47.543  1.0018  99.54   5.6     0.4096  
10-15   7       1.6336  0       0       0       32.753  -10.24  99.42   5.4527  0.4779  
10-16   17      1.362   0       0       0       48.844  15.286  99.6    5.5123  0.5213  
10-17   1       3.035   0       0       0       91.556  67.227  99.79   5.5041  0.7843  
10-18   29      1.0559  0       0       0       47.543  1.0018  99.54   5.6     0.4096  
10-19   4       1.8212  0       0       0       62.936  31.589  99.67   5.5994  0.5133  
10-20   8       1.4743  0       0       0       34.925  -6.261  99.46   5.461   0.4849  
10-21   13      1.3915  0       0       0       49.727  16.548  99.61   5.5113  0.5269  
10-22   30      1.0559  0       0       0       47.543  1.0018  99.54   5.6     0.4096  
10-23   22      1.2709  0       0       0       46.079  10.847  99.56   5.5365  0.4851  
10-24   6       1.5918  0       0       0       55.964  24.084  99.64   5.5511  0.5235  
10-25   2       2.3221  0       0       0       70.432  47.259  99.73   5.51    0.6644  
10-26   12      1.3974  0       0       0       50.129  16.829  99.61   5.5262  0.5158  
10-27   25      1.2751  0       0       0       39.234  0.716   99.5    5.4965  0.4812  
10-28   10      1.4244  0       0       0       35.205  -1.921  99.55   5.3042  0.6228  
10-29   19      1.2781  0       0       0       45.544  10.862  99.58   5.492   0.5212  
10-30   27      1.228   0       0       0       42.159  5.2676  99.53   5.5107  0.4859  
---------------------------------------------------------------------
Average :       1.484   0       0       0       47      10.42   99.56   
Optimum :       1.056   0       0       0       50.13   0.716   99.79   
 
11-1    24      1.2903  0       0       0       38.752  -0.06   99.5    5.4941  0.4804  
11-2    21      1.2628  0       0       0       45.171  10.009  99.57   5.5072  0.5058  
11-3    7       1.5482  0       0       0       33.875  -8.292  99.44   5.4638  0.4759  
11-4    17      1.2902  0       0       0       47.689  12.259  99.54   5.6     0.4387  
11-5    14      1.3704  0       0       0       49.07   15.645  99.61   5.5103  0.5243  
11-6    22      1.2525  0       0       0       43.926  8.6567  99.57   5.4785  0.5238  
11-7    18      1.2709  0       0       0       46.079  10.847  99.56   5.5365  0.4851  
11-8    19      1.2709  0       0       0       46.079  10.847  99.56   5.5365  0.4851  
11-9    9       1.4324  0       0       0       51.83   18.3    99.6    5.5109  0.4711  
11-10   26      1.2643  0       0       0       39.598  1.0743  99.5    5.3265  0.5435  
11-11   23      1.2535  0       0       0       44.651  9.2631  99.57   5.6     0.7989  
11-12   13      1.3887  0       0       0       49.549  16.411  99.61   5.4848  0.5234  
11-13   4       1.9533  0       0       0       29.662  -16.63  99.35   5.5065  0.4773  
11-14   28      1.0559  0       0       0       47.543  1.0018  99.54   5.5097  0.5397  
11-15   6       1.6336  0       0       0       32.753  -10.24  99.42   5.504   0.5248  
11-16   15      1.362   0       0       0       48.844  15.286  99.6    5.5109  0.4711  
11-17   1       3.035   0       0       0       91.556  67.227  99.79   5.5006  0.5374  
11-18   29      1.0559  0       0       0       47.543  1.0018  99.54   5.2124  0.4672  
